0001251120121,00012511201210
0001251121122,00012511211226
0001251132004,00012511320041
0001251140500,00012511405007
0001251140600,00012511406004
0001251144471,00012511444716
0001251144641,00012511446413
0001251144652,00012511446529
0001251160000,00012511600006
0002563861004,00025638610049
0003291700012,00032917000125
0003291700032,00032917000323
0003291700256,00032917002563
0003701400020,00037014000207
0003701400030,00037014000306
0003701400031,00037014000313
0003701400037,00037014000375
0003701400049,00037014000498
0003701420000,00037014200003
0003701424223,00037014242232
0003701424225,00037014242256
0003701424226,00037014242263
0003701424228,00037014242287
0003701424231,00037014242317
0003701424237,00037014242379
0003701424238,00037014242386
0003701424247,00037014242478
0003701424248,00037014242485
0003701431102,00037014311020
0004744591911,00047445919115
0004744591912,00047445919122
0004744591922,00047445919221
0004744591923,00047445919238
0004744591942,00047445919429
0004744591943,00047445919436
0004744591951,00047445919511
0004744591953,00047445919535
0004744591963,00047445919634
0004744591971,00047445919719
0004744591991,00047445919917
0004744591992,00047445919924
0007724150030,00077241500309
0007724150075,00077241500750
0007831431235,00078314312355
0068069210108,00680692101089
0068069210109,00680692101096
0068069210110,00680692101102
0068069210360,00680692103601
0068069210550,00680692105506
0068069210551,00680692105513
0069275210500,00692752105005
0070072995455,00700729954553
0070072995457,00700729954577
0070072995458,00700729954584
0070072995459,00700729954591
0070072995495,00700729954959
0070072995497,00700729954973
0070865610000,00708656100005
0070865610001,00708656100012
0070865610002,00708656100029
0070865610003,00708656100036
0070865610007,00708656100074
0070865610041,00708656100418
0070865610050,00708656100500
0074599840405,00745998404057
0074599840500,00745998405009
0074599840505,00745998405054
0074599840604,00745998406044
0074599841102,00745998411024
0074599850010,00745998500100
0074599850013,00745998500131
0074599850014,00745998500148
0074599850015,00745998500155
0074599850016,00745998500162
0074599850017,00745998500179
0074599850019,00745998500193
0074599850020,00745998500209
0074599890101,00745998901013
0074599890202,00745998902027
0074599890334,00745998903345
0074599890335,00745998903352
0074599899013,00745998990130
0074599899014,00745998990147
0074599899016,00745998990161
0074599899018,00745998990185
0074599899019,00745998990192
0074599899020,00745998990208
0074599899021,00745998990215
0074599899022,00745998990222
0080154150000,00801541500000
0080154150012,00801541500123
0081767001006,00817670010068
0081767001008,00817670010082
0081767001009,00817670010099
0081767001034,00817670010341
0081767001035,00817670010358
0081767001048,00817670010488
0081767001055,00817670010556
0085274900410,00852749004104
0085274900412,00852749004128
0085648100300,00856481003005
0085648100301,00856481003012
0085648100303,00856481003036
0085648100304,00856481003043
0085648100305,00856481003050
0085648100318,00856481003180
0085945300519,00859453005199
0087449200068,00874492000684
0087449200070,00874492000707
0087449200092,00874492000929
0087449200105,00874492001056
0087449200136,00874492001360
0087449200148,00874492001483
0087449200170,00874492001704
0087449200286,00874492002862
0087449200321,00874492003210
0087449200322,00874492003227
0089543100037,00895431000374
0089543100044,00895431000442
0089543100047,00895431000473
0089543100048,00895431000480
0089543100049,00895431000497
0089543100050,00895431000503
0089543100052,00895431000527
0089543100054,00895431000541
0089543100056,00895431000565
0089543100058,00895431000589
0089543100064,00895431000640
0089798800003,00897988000036
0089798800031,00897988000319
0089798800034,00897988000340
0089798800037,00897988000371
0089798800046,00897988000463
0089798800048,00897988000487
0089798801205,00897988012053
0089798801207,00897988012077
0089859600102,00898596001026
0089859600103,00898596001033
0089859600104,00898596001040
0089859600105,00898596001057
0089859600115,00898596001156
0089859600117,00898596001170
0089859600124,00898596001248
0089859600125,00898596001255
0089859600129,00898596001293
0089859600135,00898596001354
0089859600144,00898596001446
0089859600145,00898596001453
0089859600171,00898596001712
0089859600176,00898596001767
